timestamp,ip,score,decision,rule_id
2025-09-14T05:55:58.449061,194.48.203.181,0.0,NORMAL,
2025-09-14T05:55:58.473311,88.208.13.67,0.0,NORMAL,
2025-09-14T05:55:58.497832,194.48.203.181,0.0,NORMAL,
2025-09-14T05:55:58.520632,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:58.544036,104.21.57.190,0.0,NORMAL,
2025-09-14T05:56:00.597314,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:00.619430,192.168.0.1,0.0,NORMAL,
2025-09-14T05:56:00.642249,194.48.203.181,0.0,NORMAL,
2025-09-14T05:56:00.665426,194.48.203.197,0.0,NORMAL,
2025-09-14T05:56:00.688897,88.208.5.211,0.0,NORMAL,
2025-09-14T05:56:00.709953,194.48.203.197,0.0,NORMAL,
2025-09-14T05:56:00.730998,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:01.561868,8.8.8.8,0.49,NORMAL,
2025-09-14T05:56:02.786729,192.168.0.101,0.0,NORMAL,
2025-09-14T05:56:02.810315,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:02.832915,88.208.13.67,0.0,NORMAL,
2025-09-14T05:56:02.856017,172.64.155.209,0.0,NORMAL,
2025-09-14T05:56:04.902009,88.208.5.211,0.0,NORMAL,
2025-09-14T05:56:04.923022,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:05.562518,192.168.0.10,0.96,BLOCKED,iso_forest
2025-09-14T05:56:06.968548,172.64.148.235,0.0,NORMAL,
2025-09-14T05:56:06.989353,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:07.010251,57.144.124.34,0.0,NORMAL,
2025-09-14T05:56:09.062216,88.208.13.67,0.0,NORMAL,
2025-09-14T05:56:09.083003,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:09.563558,172.16.0.8,0.95,BLOCKED,iso_forest
2025-09-14T05:56:11.123889,88.208.5.211,0.0,NORMAL,
2025-09-14T05:56:11.151172,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:15.238511,88.208.13.67,0.0,NORMAL,
2025-09-14T05:56:15.259551,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:15.280193,88.208.5.211,0.0,NORMAL,
2025-09-14T05:56:15.300966,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:19.379787,88.208.13.67,0.0,NORMAL,
2025-09-14T05:56:19.403525,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:21.445415,88.208.5.211,0.0,NORMAL,
2025-09-14T05:56:21.469917,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:21.494570,192.168.0.101,0.0,NORMAL,
2025-09-14T05:56:23.541967,192.168.0.1,0.0,NORMAL,
2025-09-14T05:56:25.590922,192.168.0.1,0.0,NORMAL,
2025-09-14T05:56:25.614609,88.208.13.67,0.0,NORMAL,
2025-09-14T05:56:25.639338,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:27.687420,172.64.148.235,0.0,NORMAL,
2025-09-14T05:56:27.710792,88.208.5.211,0.0,NORMAL,
2025-09-14T05:56:27.733697,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:27.756664,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:27.779756,142.250.192.36,0.0,NORMAL,
2025-09-14T05:56:27.802362,142.250.192.34,0.0,NORMAL,
2025-09-14T05:56:27.824813,142.250.183.99,0.0,NORMAL,
2025-09-14T05:56:27.847227,192.168.0.101,0.0,NORMAL,
2025-09-14T05:56:27.869722,142.250.76.209,0.0,NORMAL,
2025-09-14T05:56:27.892177,142.251.220.10,0.0,NORMAL,
2025-09-14T05:56:29.947535,192.168.0.101,0.0,NORMAL,
2025-09-14T05:56:29.971571,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:29.995331,142.251.221.238,0.0,NORMAL,
2025-09-14T05:56:30.019011,88.208.13.67,0.0,NORMAL,
2025-09-14T05:56:32.066508,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:32.087378,185.207.236.138,0.0,NORMAL,
2025-09-14T05:56:32.110043,88.208.5.211,0.0,NORMAL,
2025-09-14T05:56:36.193984,88.208.13.67,0.0,NORMAL,
2025-09-14T05:56:36.216718,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:38.257394,88.208.5.211,0.0,NORMAL,
2025-09-14T05:56:38.278118,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:38.298777,45.133.44.23,0.0,NORMAL,
2025-09-14T05:56:38.319587,79.127.216.228,0.0,NORMAL,
2025-09-14T05:56:38.340773,192.168.0.101,0.0,NORMAL,
2025-09-14T05:56:40.381204,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:40.404271,185.199.110.153,0.0,NORMAL,
2025-09-14T05:56:40.426961,192.168.0.1,0.0,NORMAL,
2025-09-14T05:56:40.449411,104.26.4.205,0.0,NORMAL,
2025-09-14T05:56:40.472075,104.26.4.205,0.0,NORMAL,
2025-09-14T05:56:40.494743,185.199.110.153,0.0,NORMAL,
2025-09-14T05:56:40.517001,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:40.539608,195.201.52.238,0.0,NORMAL,
2025-09-14T05:56:40.562372,88.208.13.67,0.0,NORMAL,
2025-09-14T05:56:42.636026,185.199.110.153,0.0,NORMAL,
2025-09-14T05:56:42.660603,192.168.0.107,0.0,NORMAL,
2025-09-14T05:56:42.684015,104.26.4.205,0.0,NORMAL,
2025-09-14T05:56:42.706653,192.168.0.1,0.0,NORMAL,
2025-09-14T05:56:42.729310,195.201.52.238,0.0,NORMAL,
2025-09-14T05:56:42.751924,103.196.220.53,0.0,NORMAL,
